Time,Step,Training loss,Validation loss,Full Validation loss
22:34:58,835,1.6235,-,-
22:34:58,834,1.6354,-,-
22:34:58,833,0.0002,-,-
22:34:57,832,0.0188,-,-
22:34:54,831,0.0010,-,-
22:34:52,830,1.0731,-,-
22:34:52,829,0.8404,-,-
22:34:52,828,1.2398,-,-
22:34:49,827,0.0015,-,-
22:34:49,826,0.0723,-,-
22:34:49,825,1.3472,-,-
22:34:49,824,0.0730,-,-
22:34:48,823,1.3575,-,-
22:34:44,822,1.5232,-,-
22:34:44,821,0.8354,-,-
22:34:43,820,1.1312,-,-
22:34:43,819,0.1058,-,-
22:34:40,818,1.3967,-,-
22:34:39,817,1.6218,-,-
22:34:35,816,0.5855,-,-
22:34:35,815,0.7744,-,-
22:34:35,814,1.2605,-,-
22:34:35,813,1.6673,-,-
22:34:35,812,0.1744,-,-
22:34:35,811,0.3132,-,-
22:34:31,810,0.0001,-,-
22:34:31,809,0.0005,-,-
22:34:31,808,1.1119,-,-
22:34:31,807,1.0520,-,-
22:34:31,806,0.0000,-,-
22:34:31,805,1.4438,-,-
22:34:30,804,1.5149,-,-
22:34:24,803,0.0001,-,-
22:34:24,802,1.1058,-,-
22:34:24,801,0.2766,-,-
22:34:21,800,1.2167,1.3118,-
22:34:18,799,1.3667,-,-
22:34:18,798,1.3296,-,-
22:34:18,797,1.3468,-,-
22:34:18,796,0.0026,-,-
22:34:14,795,1.2126,-,-
22:34:14,794,1.4166,-,-
22:34:14,793,1.2787,-,-
22:34:13,792,1.0391,-,-
22:34:09,791,1.3590,-,-
22:34:08,790,2.0019,-,-
22:34:08,789,0.0001,-,-
22:34:08,788,1.4691,-,-
22:34:05,787,0.0000,-,-
22:34:05,786,1.3608,-,-
22:34:05,785,1.2457,-,-
22:34:05,784,1.2466,-,-
22:34:04,783,0.0003,-,-
22:34:00,782,0.8210,-,-
22:34:00,781,0.5974,-,-
22:33:59,780,0.0002,-,-
22:33:59,779,0.0044,-,-
22:33:56,778,0.9938,-,-
22:33:56,777,0.5311,-,-
22:33:56,776,1.2745,-,-
22:33:56,775,1.3785,-,-
22:33:56,774,1.1187,-,-
22:33:56,773,1.4162,-,-
22:33:54,772,0.8844,-,-
22:33:49,771,0.0001,-,-
22:33:48,770,1.2431,-,-
22:33:47,769,1.0219,-,-
22:33:44,768,1.2896,-,-
22:33:44,767,0.0000,-,-
22:33:44,766,0.0000,-,-
22:33:44,765,1.3714,-,-
22:33:40,764,0.9519,-,-
22:33:40,763,1.3930,-,-
22:33:40,762,0.0000,-,-
22:33:39,761,1.2111,-,-
22:33:34,760,0.9093,-,-
22:33:34,759,1.4583,-,-
22:33:34,758,1.2253,-,-
22:33:34,757,0.9696,-,-
22:33:31,756,0.0003,-,-
22:33:31,755,1.5010,-,-
22:33:31,754,1.3993,-,-
22:33:31,753,1.5239,-,-
22:33:30,752,1.4754,-,-
22:33:26,751,0.0027,-,-
22:33:25,750,1.3412,-,-
22:33:25,749,1.4939,-,-
22:33:25,748,1.4476,-,-
22:33:22,747,0.0000,-,-
22:33:22,746,0.0001,-,-
22:33:22,745,1.7893,-,-
22:33:22,744,1.6314,-,-
22:33:22,743,0.0001,-,-
22:33:22,742,0.8852,-,-
22:33:21,741,1.2559,-,-
22:33:14,740,1.3502,-,-
22:33:14,739,1.9043,-,-
22:33:13,738,0.0001,-,-
22:33:10,737,1.9261,-,-
22:33:10,736,1.4994,-,-
22:33:10,735,0.0002,-,-
22:33:10,734,0.0002,-,-
22:33:10,733,1.4106,-,-
22:33:06,732,0.0016,-,-
22:33:06,731,1.2780,-,-
22:33:04,730,0.0015,-,-
22:33:01,729,0.0018,-,-
22:33:01,728,1.1428,-,-
22:33:01,727,0.7094,-,-
22:33:01,726,0.0010,-,-
22:33:01,725,1.5326,-,-
22:32:57,724,1.3134,-,-
22:32:57,723,0.0003,-,-
22:32:57,722,0.0003,-,-
22:32:56,721,1.3893,-,-
22:32:51,720,0.0006,-,-
22:32:51,719,1.5939,-,-
22:32:51,718,0.0036,-,-
22:32:51,717,1.4341,-,-
22:32:51,716,0.8442,-,-
22:32:48,715,1.1259,-,-
22:32:48,714,0.8966,-,-
22:32:48,713,0.0076,-,-
22:32:48,712,1.1275,-,-
22:32:48,711,1.5223,-,-
22:32:46,710,1.0620,-,-
22:32:41,709,0.9027,-,-
22:32:41,708,0.6763,-,-
22:32:40,707,1.2931,-,-
22:32:36,706,1.3767,-,-
22:32:36,705,0.8663,-,-
22:32:36,704,1.3952,-,-
22:32:36,703,1.0708,-,-
22:32:36,702,1.2453,-,-
22:32:33,701,1.2132,-,-
22:32:31,700,1.4549,1.4137,-
22:32:30,699,1.1447,-,-
22:32:27,698,1.5243,-,-
22:32:27,697,0.8449,-,-
22:32:27,696,0.0004,-,-
22:32:27,695,0.0011,-,-
22:32:27,694,0.0140,-,-
22:32:23,693,1.3970,-,-
22:32:23,692,0.6524,-,-
22:32:23,691,1.3812,-,-
22:32:21,690,1.4257,-,-
22:32:18,689,1.3251,-,-
22:32:18,688,0.0022,-,-
22:32:18,687,1.1465,-,-
22:32:18,686,1.0937,-,-
22:32:18,685,1.0757,-,-
22:32:14,684,0.9324,-,-
22:32:14,683,0.0026,-,-
22:32:14,682,0.9869,-,-
22:32:14,681,0.9232,-,-
22:32:13,680,0.0377,-,-
22:32:12,679,1.0837,-,-
22:32:07,678,1.4797,-,-
22:32:07,677,0.9425,-,-
22:32:06,676,1.1239,-,-
22:32:02,675,1.4084,-,-
22:32:02,674,0.0019,-,-
22:32:02,673,1.0477,-,-
22:32:02,672,1.3472,-,-
22:32:02,671,1.0522,-,-
22:31:58,670,1.3814,-,-
22:31:58,669,0.1058,-,-
22:31:57,668,0.2477,-,-
22:31:53,667,1.3573,-,-
22:31:53,666,1.3311,-,-
22:31:53,665,1.1657,-,-
22:31:53,664,1.4517,-,-
22:31:53,663,1.4061,-,-
22:31:50,662,0.0026,-,-
22:31:50,661,1.1918,-,-
22:31:49,660,0.0010,-,-
22:31:48,659,1.1275,-,-
22:31:44,658,1.4092,-,-
22:31:44,657,1.3482,-,-
22:31:44,656,0.0015,-,-
22:31:44,655,1.2450,-,-
22:31:44,654,1.2784,-,-
22:31:41,653,1.1739,-,-
22:31:41,652,1.4036,-,-
22:31:41,651,0.0051,-,-
22:31:39,650,1.4729,-,-
22:31:38,649,0.0061,-,-
22:31:33,648,1.2435,-,-
22:31:33,647,1.7418,-,-
22:31:33,646,0.0248,-,-
22:31:33,645,1.3109,-,-
22:31:32,644,1.0370,-,-
22:31:29,643,1.4723,-,-
22:31:29,642,1.6432,-,-
22:31:29,641,1.4593,-,-
22:31:27,640,1.2992,-,-
22:31:24,639,0.8680,-,-
22:31:24,638,1.2644,-,-
22:31:23,637,0.0058,-,-
22:31:19,636,0.0142,-,-
22:31:19,635,0.0101,-,-
